Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,111.7215,-115.951,0.0,top
C10,220u,C_Elec_6.3x7.7,158.775403,-129.6441,-90.0,top
C11,2.2uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.2466,-134.874,90.0,top
C12,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.9651,-135.4836,180.0,top
C13,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,169.0116,-139.4714,180.0,top
C14,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.5834,-131.3942,90.0,top
C15,2.2uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,153.5938,-134.6708,90.0,top
C16,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.2789,-135.2804,180.0,top
C17,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.844,-131.3688,90.0,top
C2,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,107.442,-104.267,90.0,top
C20,220uF,C_Elec_6.3x7.7,153.5201,-111.5314,0.0,top
C21,220uF,C_Elec_6.3x7.7,153.5963,-104.4194,180.0,top
C23,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,148.2598,-117.0686,0.0,top
C28,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,130.683,-135.636,-90.0,top
C3,100p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.3932,-124.6124,-90.0,top
C30,220uF,C_Elec_6.3x7.7,122.6337,-139.2936,180.0,top
C31,220uF,C_Elec_6.3x7.7,122.6083,-132.1562,0.0,top
C32,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.1176,-135.5765,-90.0,top
C33,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.448,-117.094,180.0,top
C4,TAJA106K016RNJ,CAP-SMD_L3.2-W1.6-RD-C7171,125.904713,-113.234769,-90.0,top
C5,CA45-A-10V-22UF-K,CASE-A_3216,125.3164,-117.856,180.0,top
C6,4.7u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,167.6665,-137.2108,0.0,top
C7,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.4988,-123.5202,-90.0,top
C8,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.618399,-129.227702,0.0,top
C9,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,161.7472,-119.0752,180.0,top
D1,SS34_C8678,SMA_L4.3-W2.6-LS5.2-RD,105.283,-108.331,180.0,top
D2,SS34_C8678,SMA_L4.3-W2.6-LS5.2-RD,172.618399,-133.926702,90.0,top
L2,22u,L_Sunlord_SWPA6045S,103.4288,-113.0046,90.0,top
L3,22u,L_Sunlord_SWPA6045S,173.101,-125.0802,90.0,top
R1,100m,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,110.0865,-125.659,-90.0,top
R10,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,171.9072,-114.3604,90.0,top
R11,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,172.9232,-114.3483,90.0,top
R12,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.490399,-131.9663,90.0,top
R13,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.490399,-127.487202,-90.0,top
R14,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.490399,-129.7178,-90.0,top
R15,75k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,174.498,-142.875,-90.0,top
R16,3.3k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,126.0348,-126.8564,180.0,top
R17,3.3k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,126.0348,-125.857,180.0,top
R2,220k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.776,-110.363,0.0,top
R3,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.665,-112.776,-90.0,top
R4,33k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,114.935,-114.3,-90.0,top
R5,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.424,-127.9906,0.0,top
R6,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.424,-122.909,0.0,top
R7,4.7R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.9137,-123.5202,0.0,top
R8,2.2R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.9118,-122.0216,0.0,top
R9,3.3k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,171.9072,-116.6464,90.0,top
U1,MT3608,SOT-23-6,108.839,-113.03,0.0,top
U10,DRV8833PWP,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,154.569917,-139.643987,0.0,top
U11,SS-12D06-G050,SW-TH_3P-P4.70_SS-12D06-G050,109.982,-138.5808,-90.0,top
U12,AP22814AW5-7,SOT-25_L3.0-W1.6-P0.95-LS2.8-BL,152.277575,-118.023638,-90.0,top
U14,AP22814AW5-7,SOT-25_L3.0-W1.6-P0.95-LS2.8-BL,129.417575,-138.617962,-90.0,top
U2,INA219AIDCNR,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR,119.3365,-124.909,0.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,131.1584,-114.681,-90.0,top
U4,TPS5430DDAR,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,167.919399,-132.656702,-90.0,top
U5,TP4056,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,163.791898,-122.542298,90.0,top
U6,TS5A3159DCKR,SC-70-6_L2.0-W1.3-P0.65-LS2.1-BL-1,172.480987,-119.780762,180.0,top
U7,TYPE-C_16P_QTGM027,USB-C-SMD_TYPE-C-16P-QTGM027,169.064936,-147.408772,0.0,top
U8,DRV8833PWP,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,145.2118,-139.7508,0.0,top
U9,HUSB237-AA001-DN06R,TDFN-6_L2.0-W2.0-P0.65-TL-EP,171.449974,-140.969924,90.0,top
