Comment,Designator,Footprint,LCSC,Quantity
1k,R12,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702,1
22u,"C1,C2",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891,2
CA45-A-10V-22UF-K,C5,CASE-A_3216,C129272,1
100p,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14858,1
100nF,"C23,C32",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,2
10p,C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1634,1
TP4056,U5,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C16581,1
10u,L1,L_Changjiang_FNR4030S,C167879,1
18u,L2,L_Changjiang_FNR4030S,C167882,1
SS-12D06-G050,U11,SW-TH_3P-P4.70_SS-12D06-G050,C17179521,1
220u,"C10,C20,C21,C30,C31",C_Elec_6.3x7.7,C19100600,5
4.7u,C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19666,1
10uF,"C14,C17,C7,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19702,4
0R,"R5,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21189,2
HUSB237-AA001-DN06R,U9,TDFN-6_L2.0-W2.0-P0.65-TL-EP,C22373734,1
2.2R,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22939,1
220k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22961,1
4.7R,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23164,1
75k,R15,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23242,1
10k,R13,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,1
33k,R4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25779,1
2.2k,"R10,R14",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25879,2
3.3k,R9,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25890,1
AP22814AW5-7,"U12,U14",SOT-25_L3.0-W1.6-P0.95-LS2.8-BL,C2680321,2
TYPE-C_16P_QTGM027,U7,USB-C-SMD_TYPE-C-16P-QTGM027,C2681552,1
22k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C31850,1
2k,R11,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C4109,1
TS5A3159DCKR,U6,SC-70-6_L2.0-W1.3-P0.65-LS2.1-BL-1,C46388,1
DRV8833PWP,"U10,U8",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,C50506,2
1uF,"C13,C28,C33",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,3
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186,1
TAJA106K016RNJ,C4,CAP-SMD_L3.2-W1.6-RD-C7171,C7171,1
100m,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C7467250,1
MT3608,U1,SOT-23-6,C84817,1
SS34_C8678,"D1,D2",SMA_L4.3-W2.6-LS5.2-RD,C8678,2
INA219AIDCNR,U2,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR,C87469,1
TPS5430DDAR,U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,C9864,1
~,5V_R1_TP1,TestPoint_Pad_2.5x2.5mm,,1
~,L_TP_1,TestPoint_Pad_2.5x2.5mm,,1
5V R2 TP,5V_R2_TP1,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,CHRG_SelectR2_TP1,TestPoint_Pad_2.5x2.5mm,,1
5V TP,5V_TP1,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,CHRG_SelectR1_TP1,TestPoint_Pad_2.5x2.5mm,,1
Possible Filter Res2,JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,1
TestPoint,CHRG_VinR_TP1,TestPoint_Pad_2.5x2.5mm,,1
9V TP,9V_TP1,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,Shunt_TP1,TestPoint_Pad_2.5x2.5mm,,1
3V3 TP,3V3_TP1,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,CHRG_SelectR1_TP2,TestPoint_Pad_2.5x2.5mm,,1
Possible Filter Res1,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,1
TestPoint,CHRG_SelectR2_TP2,TestPoint_Pad_2.5x2.5mm,,1
~,L_TP_2,TestPoint_Pad_2.5x2.5mm,,1
5V FB TP,5V_FB_TP1,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,Shunt_TP2,TestPoint_Pad_2.5x2.5mm,,1
Possible Filter Cap ,JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,1
TestPoint,CHRG_VinR_TP2,TestPoint_Pad_2.5x2.5mm,,1
BAT TP,BAT_TP1,TestPoint_Pad_2.5x2.5mm,,1
GND TP,GND_TP1,TestPoint_Pad_2.5x2.5mm,,1
